Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	Slycopersicum<58>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	Mguttatus<60>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<59>	<29>	FRAX28<4>	FRAX06<22>	<5>
71	7	9	5	9	9	6	8	9	9	8	4	9	9	7	8	8	9	8	7	8	7	9	6	9	9	9	9	8	9	9	8	8	8	8	6	8	10	9	9	8	8	8	7	8	8	8	7	9	9	9	8	7	9	9	8	7	9	8	8	9
72	9	10	7	6	9	8	9	9	10	9	10	10	10	10	8	10	1	10	8	0	6	10	9	5	9	10	8	10	9	9	9	9	9	8	0	9	9	10	3	9	8	1	10	10	9	10	9	4	10	10	9	10	10	10	8	0	9	10	9	10
73	6	9	9	10	9	6	8	9	9	8	9	9	9	9	7	9	13	10	7	5	6	8	6	7	9	9	6	8	9	10	9	8	8	8	1	8	10	10	10	9	8	1	8	10	9	10	10	10	10	9	9	10	10	7	6	5	9	10	4	10
74	11	6	15	9	9	12	9	9	6	9	12	4	6	4	10	8	1	9	9	3	10	4	9	2	9	8	2	4	9	9	11	9	11	9	0	9	11	9	3	11	7	7	12	5	11	9	9	3	4	9	6	9	9	3	10	3	9	9	5	9
75	6	8	9	6	9	7	8	9	7	8	3	8	8	11	10	9	15	9	7	7	10	10	3	8	9	8	8	6	9	9	8	8	8	8	2	8	13	10	11	8	10	6	5	5	8	10	9	11	6	8	7	10	10	10	8	6	9	9	10	10
76	7	8	11	10	9	7	6	10	7	6	4	8	8	10	13	11	12	11	2	5	11	9	6	6	9	10	11	4	9	4	11	5	11	5	2	5	9	9	10	11	6	5	10	6	11	8	7	10	5	11	7	8	9	8	11	5	10	7	5	8
77	8	9	4	6	9	5	9	9	9	9	5	9	9	10	7	8	11	11	4	3	5	8	7	9	9	9	5	9	9	8	8	6	8	5	17	8	4	9	11	8	5	8	8	6	8	9	8	11	8	9	9	9	9	9	5	10	9	9	13	9
78	7	8	8	6	8	7	8	8	8	8	7	8	8	8	6	10	8	7	7	4	7	7	7	9	8	8	9	9	8	7	8	8	8	8	5	8	7	8	8	7	9	9	8	7	8	8	7	8	8	8	7	8	8	8	8	5	8	7	9	8
79	8	8	5	7	9	8	9	9	8	9	8	8	8	9	7	7	9	5	8	8	8	9	7	8	9	8	8	9	9	8	8	9	8	9	2	9	8	9	9	8	11	8	4	8	8	9	7	9	7	8	8	9	9	8	8	7	9	9	8	9
80	10	9	8	8	9	10	7	9	9	7	3	10	9	7	10	7	1	10	4	12	8	10	5	8	9	9	9	9	9	8	9	5	9	5	1	6	6	9	7	10	5	5	9	9	9	8	9	7	9	9	5	8	9	11	9	7	9	6	7	8
81	6	8	8	8	8	8	8	8	8	8	6	7	8	8	8	7	10	9	6	3	7	7	7	8	8	8	8	7	8	8	8	8	8	8	7	8	8	8	9	8	8	8	7	8	8	8	7	9	6	8	8	8	8	7	8	6	8	7	6	8
82	5	8	9	5	7	8	6	8	8	6	5	8	8	8	7	7	6	10	6	12	8	8	5	7	7	8	7	8	7	9	8	6	8	6	21	6	9	8	10	8	5	6	7	4	8	8	6	10	4	8	7	8	8	10	8	14	8	7	5	8
83	6	8	8	6	8	7	8	8	8	8	7	8	8	7	8	8	8	8	8	4	8	9	7	9	8	8	9	8	8	7	8	8	8	8	5	8	7	8	8	8	8	10	7	7	8	7	7	8	6	8	6	7	8	8	8	5	8	7	9	7
84	8	8	7	6	8	5	8	8	8	8	8	8	8	9	6	8	7	8	7	4	7	8	6	8	8	8	10	8	8	8	8	8	8	7	4	8	8	9	7	8	5	8	7	5	8	9	7	7	8	8	8	9	9	9	8	4	8	9	9	9
85	6	8	9	6	9	8	9	9	8	9	9	8	8	10	7	8	14	8	9	1	7	10	9	3	9	8	4	8	9	8	8	8	8	8	0	8	9	10	8	8	4	2	9	4	8	10	10	8	8	8	9	10	10	6	7	1	9	10	10	10
86	7	7	4	7	9	6	9	9	7	9	7	4	6	9	8	8	26	9	6	0	5	10	6	4	9	7	12	8	9	7	7	9	7	9	0	9	10	9	11	7	9	11	7	3	7	9	7	11	2	7	4	9	9	4	7	0	9	11	8	9
87	5	9	8	5	8	9	7	8	9	7	6	9	9	8	7	9	8	9	6	3	9	9	7	7	8	9	9	8	8	9	9	7	9	6	4	7	5	8	8	9	6	6	7	8	9	9	9	8	8	9	9	9	8	10	9	4	8	8	7	9
88	8	8	7	7	8	7	8	8	8	8	7	8	8	8	8	7	15	9	8	2	6	7	7	7	8	8	8	6	8	7	8	8	8	8	5	8	4	8	10	8	8	8	8	7	8	8	8	10	8	8	8	8	8	6	8	5	8	8	8	8
89	7	8	7	7	8	6	8	8	8	8	8	8	8	6	7	8	9	6	6	6	7	8	7	8	8	8	8	9	8	7	8	8	8	8	4	8	8	8	8	6	8	7	8	7	8	8	7	8	7	8	7	7	8	8	8	6	8	8	8	8
90	8	10	4	7	9	9	9	10	9	9	2	10	10	7	10	10	13	8	7	2	7	8	7	2	9	10	12	8	9	4	9	7	9	7	4	9	4	8	9	9	5	9	9	5	9	7	6	9	11	10	10	7	8	9	9	4	10	9	10	7
91	7	9	9	9	9	7	9	9	9	9	10	6	8	10	9	9	3	9	8	0	9	10	8	6	9	9	9	11	9	9	9	9	9	8	0	9	9	9	4	9	8	1	7	8	9	9	8	5	4	9	4	9	9	6	9	0	9	9	9	9
92	6	7	8	8	8	6	8	8	7	8	7	6	7	7	6	7	9	7	7	9	8	8	7	6	8	8	7	7	8	8	8	8	8	8	4	8	8	8	9	7	9	6	8	5	8	7	6	9	6	8	6	7	8	6	8	7	8	7	8	8
93	6	8	10	7	7	10	7	8	8	7	4	8	8	8	8	9	11	10	7	2	9	7	5	6	7	8	11	8	7	4	10	7	10	7	2	7	7	7	8	10	7	8	7	6	10	7	7	8	6	9	6	7	7	9	10	2	8	5	8	7
94	6	8	10	6	8	8	8	8	7	8	8	7	8	6	7	7	8	9	7	2	8	8	7	5	8	8	9	5	8	9	9	8	9	7	2	8	8	8	7	9	7	6	8	5	9	7	7	7	6	8	8	7	8	7	9	2	8	7	8	8
95	7	8	9	6	8	8	8	8	8	8	7	7	8	7	6	6	5	6	8	15	5	5	6	6	8	8	5	8	8	6	8	8	6	8	7	8	9	8	8	7	4	7	6	10	7	7	9	8	6	8	6	7	8	6	5	9	8	4	8	7
96	6	8	8	4	8	8	8	8	8	8	8	8	8	8	7	6	8	8	7	6	8	7	7	8	8	8	7	7	8	7	8	8	8	7	5	8	7	8	8	8	6	7	7	5	8	8	7	8	8	8	6	8	8	8	8	6	8	7	8	8
97	6	8	9	5	7	6	7	8	7	7	5	8	8	4	8	10	10	7	6	5	7	8	8	7	7	8	7	4	7	5	8	7	8	7	3	7	6	7	8	7	8	8	9	7	8	6	5	8	7	8	8	5	7	8	7	5	8	9	6	6
