Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	Mguttatus<58>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
1637	19	19	17	14	9	20	18	20	20	19	20	21	19	19	16	16	19	21	19	18	18	20	19	18	20	19	22	18	20	20	19	20	19	18	20	14	19	21	19	18	21	18	17	19	18	11	19	20	21	18	19	18	19	19	19	19	20	19	21	19
20752	18	19	17	18	2	20	16	19	21	19	19	19	19	19	18	18	17	65	20	18	17	17	20	17	20	19	22	19	20	21	19	18	19	18	18	17	19	31	19	18	6	18	17	19	12	1	18	18	30	18	19	18	18	19	18	19	21	18	18	19
172	21	18	16	18	12	20	18	20	20	18	20	16	18	18	20	16	19	27	17	18	19	20	20	18	20	18	15	17	20	18	18	19	18	19	19	20	20	23	18	19	18	18	19	18	19	9	19	18	23	19	18	16	19	20	15	18	20	16	18	19
18812	14	17	18	16	25	19	17	19	19	16	19	12	16	17	24	16	17	27	15	14	16	20	18	9	19	17	16	12	19	17	17	17	17	16	19	22	20	23	17	16	24	19	14	17	30	20	21	23	22	16	17	17	23	20	14	16	19	18	20	20
34314	21	19	13	23	3	21	13	21	21	19	21	14	19	19	20	17	17	20	17	19	14	23	18	19	21	19	14	23	21	21	16	19	15	19	20	16	21	20	15	18	20	15	18	15	11	4	19	18	20	15	18	17	19	21	21	14	21	18	26	20
38476	19	19	19	22	8	20	18	20	20	19	20	20	18	19	15	19	18	19	16	17	16	18	15	17	20	19	18	19	20	15	19	20	17	19	20	15	18	20	18	19	20	17	21	18	18	12	16	15	20	17	19	17	15	18	16	17	20	16	21	16
36016	18	19	18	13	11	19	17	19	20	19	19	18	19	19	16	19	17	21	19	15	19	19	18	19	19	19	20	20	19	16	19	19	19	18	19	16	18	21	19	18	21	19	15	19	19	10	16	16	21	19	19	18	16	18	19	19	20	15	19	16
31669	17	19	15	16	9	19	14	18	19	19	18	17	20	19	20	14	16	20	17	17	19	21	17	14	19	19	16	19	19	19	18	18	18	18	18	19	20	19	17	19	18	18	19	18	16	8	20	19	19	21	18	18	20	20	20	18	19	22	18	20
20355	18	18	14	13	12	19	16	19	19	17	19	18	19	18	18	18	19	32	14	13	15	19	18	16	19	18	19	15	19	18	17	19	16	17	19	17	19	25	16	18	18	15	14	16	22	12	19	20	24	19	18	19	19	19	20	16	19	19	19	19
689	13	18	20	15	25	19	14	19	19	18	19	17	18	18	16	18	17	17	16	20	16	21	20	17	19	18	16	16	19	18	18	19	16	19	19	15	19	20	16	19	19	16	20	16	22	5	17	15	20	15	18	15	16	19	19	16	19	18	16	18
27952	18	16	12	12	12	19	8	18	19	17	18	14	13	15	22	18	14	42	17	16	14	14	14	13	19	16	26	22	19	23	16	18	18	18	18	21	20	27	16	20	19	18	16	17	25	17	22	21	26	10	16	12	22	20	13	18	19	21	17	22
3965	16	17	15	14	17	17	16	16	18	17	16	14	16	17	18	18	16	26	21	17	16	15	15	16	17	17	18	21	17	13	17	16	18	17	16	20	17	23	18	17	15	19	15	18	27	21	16	14	23	14	17	16	16	17	16	18	18	15	14	16
2418	17	18	15	15	15	18	15	18	18	18	18	16	18	18	18	17	17	21	14	13	14	18	15	17	18	18	17	19	18	14	16	17	15	16	18	17	18	21	15	17	19	14	16	15	21	12	18	17	21	18	17	18	18	18	18	15	18	18	19	18
36096	17	17	15	15	11	18	15	17	18	17	17	15	17	17	18	16	17	18	16	15	17	18	16	19	18	17	16	17	18	16	17	17	16	17	17	18	18	20	16	17	16	16	15	16	19	11	17	15	20	17	17	17	17	18	17	16	18	17	18	17
27516	16	18	18	16	7	18	17	18	18	18	18	18	17	18	17	15	16	24	15	18	15	15	17	15	18	18	15	16	18	14	18	18	16	18	18	16	17	20	17	16	18	16	19	17	14	5	17	19	20	16	18	17	17	17	16	15	18	16	17	17
14339	13	19	15	17	7	18	19	18	18	19	18	16	19	19	15	16	21	16	19	16	17	13	21	16	18	19	19	17	18	15	19	17	18	16	17	17	17	18	19	16	15	16	19	19	14	8	16	13	18	15	19	16	15	17	20	18	18	17	17	16
34827	17	17	15	15	11	17	16	17	17	17	17	14	19	17	15	15	16	20	18	13	17	16	14	17	17	17	17	18	17	13	17	16	17	16	17	18	17	20	17	18	19	16	13	17	19	12	15	14	20	19	17	17	15	17	20	17	17	14	17	15
28796	17	17	19	16	9	18	13	17	18	17	17	16	16	17	16	15	19	26	14	15	12	14	16	18	18	17	16	13	18	14	17	17	15	16	17	16	17	22	14	16	16	15	18	15	19	13	17	19	22	16	17	13	17	17	15	15	18	16	16	17
